fold,context,train_start_utc,train_end_exclusive_utc,test_start_utc,test_end_exclusive_utc,learned_action,reason,training_trades,training_net_pnl_usd,training_pf,training_worst_sampled_segment_pf,parameters_json
2023-01 to 2023-06,BEAR_BREAKOUT,2019-09-06T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-01 to 2023-06,BEAR_PULLBACK,2019-09-06T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-01 to 2023-06,BULL_BREAKOUT,2019-09-06T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-01 to 2023-06,BULL_PULLBACK,2019-09-06T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-01 to 2023-06,RANGE_REVERSION,2019-09-06T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-07 to 2023-12,BEAR_BREAKOUT,2019-09-06T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-07 to 2023-12,BEAR_PULLBACK,2019-09-06T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-07 to 2023-12,BULL_BREAKOUT,2019-09-06T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-07 to 2023-12,BULL_PULLBACK,2019-09-06T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2023-07 to 2023-12,RANGE_REVERSION,2019-09-06T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2024-01 to 2024-06,BEAR_BREAKOUT,2019-09-06T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
2024-01 to 2024-06,BEAR_PULLBACK,2019-09-06T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,NO_TRADE,"NO_TRADE: no candidate met count, profitability, PF, and stability gates",0,,,,
